Front,Back,Tags
"Detection vs classification ?","La classification donne surtout une classe globale; la detection donne plusieurs classes et leurs localisations.","detection bases"
"Format d'une annotation DOTA ?","Quatre coins donc huit coordonnees, une classe et un indicateur difficult.","dota donnees"
"Pourquoi tuiler DOTA ?","Rendre le calcul possible et conserver davantage de pixels pour les petits objets.","dota tuilage"
"Unite correcte du split ?","L'image source, avant le tuilage.","methodologie fuite"
"Risque d'un split aleatoire par tuile ?","Des contextes ou objets d'une meme image traversent train et validation, donc fuite.","methodologie fuite"
"Pourquoi 1024 pixels ?","Compromis entre contexte, petits objets, fragments et memoire GPU.","dota tuilage"
"Pourquoi stride 824 en train ?","Chevauchement de 200 pixels pour mieux couvrir les objets proches des bords.","dota tuilage"
"Pourquoi stride 1024 en validation ?","Reduire la redondance de l'evaluation.","dota tuilage"
"Seuil de conservation d'un objet ?","Au moins 70 % de l'aire originale dans la tuile.","dota nettoyage"
"Zone de fragment ambigu ?","Entre 20 % et 70 % de retention; la tuile est rejetee.","dota nettoyage"
"Pourquoi garder des tuiles negatives ?","Apprendre le fond et reduire les faux positifs.","dota donnees"
"Pourquoi ne pas garder toutes les negatives ?","Elles domineraient le train et le cout de calcul.","dota donnees"
"HBB ?","Boite horizontale alignee avec les axes.","detection hbb"
"OBB ?","Boite orientee qui suit la rotation de l'objet.","detection obb"
"Perte HBB sur objet diagonal ?","Elle inclut davantage de fond et peut chevaucher les voisins.","detection hbb"
"Formule IoU ?","Aire de l'intersection divisee par aire de l'union.","metriques iou"
"Union de deux boites ?","Aire A + aire B - aire de l'intersection.","metriques iou"
"TP en detection ?","Meme classe, association un-a-un et IoU au-dessus du seuil.","metriques"
"FP ?","Detection annoncee sans correspondance correcte.","metriques"
"FN ?","Objet reel sans detection correcte.","metriques"
"Precision ?","TP / (TP + FP), fiabilite des detections.","metriques"
"Recall ?","TP / (TP + FN), couverture des objets reels.","metriques"
"F1 ?","Moyenne harmonique de precision et recall.","metriques"
"AP ?","Aire sous la courbe precision-recall pour une classe.","metriques"
"mAP ?","Moyenne des AP sur les classes.","metriques"
"mAP50 ?","mAP avec seuil IoU 0.50.","metriques"
"mAP50-95 ?","mAP moyennee sur les seuils IoU 0.50 a 0.95.","metriques"
"Pourquoi mAP50-95 est plus stricte ?","Elle exige aussi des localisations tres precises.","metriques"
"Score de confiance ?","Score pour classer et filtrer les detections; pas une garantie de correction.","yolo"
"NMS ?","Garde une boite forte et supprime les detections redondantes trop chevauchantes.","yolo"
"Risque NMS en scene dense ?","Supprimer un vrai objet voisin.","yolo"
"Backbone ?","Extrait les caracteristiques visuelles.","yolo architecture"
"Neck ?","Combine plusieurs echelles de features.","yolo architecture"
"Head ?","Produit classes, scores et geometries de boites.","yolo architecture"
"Role de la loss ?","Fournir le signal d'erreur utilise pour mettre a jour les poids.","yolo entrainement"
"Loss vs mAP ?","Loss entraine le modele; mAP l'evalue sur validation.","yolo entrainement"
"Epoch ?","Un passage approximatif sur tout le train.","ml entrainement"
"Batch ?","Nombre d'images avant une mise a jour des poids.","ml entrainement"
"Learning rate ?","Amplitude des mises a jour des poids.","ml entrainement"
"Transfert learning ?","Ajuster sur DOTA des poids generaux deja appris, ici sur COCO.","ml entrainement"
"Overfitting ?","Train s'ameliore mais validation stagne ou baisse.","ml generalisation"
"Underfitting ?","Train et validation restent faibles; le modele n'apprend pas assez.","ml generalisation"
"Pourquoi petits objets difficiles ?","Peu de pixels, redimensionnement, densite et IoU sensible a quelques pixels.","detection petits_objets"
"Effet attendu de imgsz plus grand ?","Plus de pixels par petit objet, mais plus de memoire et de calcul.","detection petits_objets"
"Prediction vs causalite ?","Predire Y n'indique pas ce qui arriverait si on changeait D.","causalite bases"
"Outcome potentiel Y(1) ?","Outcome qu'aurait l'unite sous traitement.","causalite potentiel"
"Outcome potentiel Y(0) ?","Outcome qu'aurait l'unite sous controle.","causalite potentiel"
"ATE ?","E[Y(1)-Y(0)], effet moyen dans une population definie.","causalite effet"
"Traitement DOTA retenu ?","Objet dans le premier quartile d'aire relative de tuile, seuil train.","causalite dota"
"Outcome DOTA retenu ?","Meme classe, confiance >= 0.25 et IoU OBB >= 0.50.","causalite dota"
"Confounder ?","Cause commune du traitement et de l'outcome.","causalite dag"
"Exemple de confounder DOTA ?","La classe influence taille typique et facilite de detection.","causalite dag"
"Mediator ?","Variable causee par D qui transmet une partie de son effet vers Y.","causalite dag"
"Collider ?","Consequence commune de deux variables; l'ajuster peut ouvrir un biais.","causalite dag"
"Backdoor path ?","Chemin D-Y commencant par une fleche entrant dans D.","causalite dag"
"Pourquoi ne pas ajuster sur confiance ?","Variable post-traitement produite par le detecteur et liee a l'outcome.","causalite ajustement"
"Pourquoi ne pas ajuster sur IoU ?","L'IoU definit directement l'outcome.","causalite ajustement"
"Exchangeabilite conditionnelle ?","Apres X, D est comparable quant aux outcomes potentiels.","causalite hypotheses"
"Menace a l'exchangeabilite DOTA ?","Flou, contraste, occultation ou qualite d'annotation non observes.","causalite hypotheses"
"Positivite ?","Chaque profil pertinent doit permettre traite et controle avec probabilite non nulle.","causalite hypotheses"
"Menace a la positivite ?","Une classe ou source ou presque tous les objets sont minuscules.","causalite hypotheses"
"Coherence ?","L'outcome observe correspond au potentiel du traitement effectivement recu.","causalite hypotheses"
"Interference possible DOTA ?","NMS, occlusion ou limite max_det entre objets voisins.","causalite hypotheses"
"Difference brute ?","E[Y|D=1]-E[Y|D=0], descriptive mais potentiellement confondue.","causalite estimateurs"
"G-computation ?","Predire mu1(X) et mu0(X), puis moyenner leur difference.","causalite estimateurs"
"Score de propension ?","P(D=1|X).","causalite estimateurs"
"IPW ?","Ponderer par l'inverse de la probabilite du traitement observe.","causalite estimateurs"
"Danger IPW ?","Scores proches de 0 ou 1 produisent des poids extremes.","causalite estimateurs"
"AIPW ?","Combine modele d'outcome, propension et correction par residus ponderes.","causalite estimateurs"
"Doublement robuste signifie ?","Coherence possible si un des deux modeles nuisances est correct, sous les autres hypotheses.","causalite estimateurs"
"Ce que double robustesse ne corrige pas ?","Confounders non observes, mauvaise positivite, selection ou traitement mal defini.","causalite limites"
"Cross-fitting ?","Predire les nuisances d'un fold avec des modeles entraines sur les autres folds.","causalite methode"
"Pourquoi folds groupes par image ?","Eviter qu'un meme contexte traverse entrainement nuisance et prediction.","causalite methode"
"Pourquoi bootstrap par image ?","Les objets d'une image ne sont pas independants.","causalite incertitude"
"CATE ?","Effet moyen conditionnel a un profil X.","causalite heterogeneite"
"Arbre causal honnete ?","Une partie choisit les splits, l'autre estime les effets des feuilles.","causalite heterogeneite"
"Pourquoi limiter profondeur d'un arbre causal ?","Reduire variance et sous-groupes artificiels.","causalite heterogeneite"
"Analyse de sensibilite ?","Varier des choix raisonnables pour tester stabilite du signe et de l'amplitude.","causalite sensibilite"
"Limite principale du projet causal ?","Traitement non randomise et confounders non observes possibles.","causalite limites"
"Pourquoi mAP ne prouve pas un effet causal ?","mAP mesure la prediction; elle ne compare pas les outcomes contrefactuels.","causalite prediction"
